distance,elevation,dhdt,error,v,smb
45300,44.35213366,-0.040310345,0.984209014,440.9392706,509.2750542
45450,44.56928287,0.006438726,0.98222217,440.9392706,508.5070418
45600,44.63033443,0.027091721,0.87637053,441.0059357,508.0159619
45750,44.4936432,0.005786769,0.928928785,442.1425681,507.202999
45900,44.24769817,-0.046254342,0.888261921,443.2053119,506.7994838
46050,44.09513148,-0.079487843,0.623098558,443.2053119,505.9455477
46200,44.05406195,-0.086984161,0.407311845,443.2076513,505.5939331
46350,44.0978483,-0.073402185,0.33025898,444.3206838,505.5445213
46500,44.11419111,-0.057038727,0.246235133,444.7369169,504.725708
46650,44.12355549,-0.03940885,0.268214702,445.3498362,503.9538347
46800,44.19375388,-0.014323898,0.435008376,446.0719913,503.4521484
46950,44.37261802,0.026938493,0.628230116,446.5645588,503.0827429
47100,44.66480797,0.082046975,0.668482718,446.5645588,502.3704006
47250,44.91202246,0.119382963,0.598029305,447.0096715,501.6186601
47400,44.94569715,0.121412589,0.650490871,448.3230584,501.3285217
47550,44.82349273,0.094291323,0.65895416,448.9665186,501.1267836
47700,44.50503777,0.033505854,0.477331451,449.1551183,500.2341179
47850,44.17368626,-0.028044914,0.274882963,449.3370167,499.2390946
48000,44.03981005,-0.052768908,0.201554606,449.9159502,498.8218994
48150,44.1041408,-0.052978997,0.28005626,450.8561934,498.8124409
48300,44.21739065,-0.049188433,0.297470174,450.8561934,497.9117137
48450,44.37469082,-0.037469678,0.46455928,450.8582799,497.5622012
48600,44.59463882,-0.005065021,0.59999907,451.6445152,496.7407665
48750,44.74914823,0.030759531,0.552153177,451.6646989,496.2841358
48900,44.75973278,0.056723985,0.371567705,453.1144451,495.5080566
49050,44.60545678,0.062993819,0.279396204,454.1389121,495.5068037
49200,44.47908489,0.055853235,0.26,454.1389121,494.2834778
49350,44.51060725,0.054001593,0.26,454.1389121,494.2834778
49500,44.7264745,0.061992696,0.28924468,454.1389121,493.4714848
49650,44.84075372,0.05648221,0.365648559,456.6022661,492.7201111
49800,44.75225532,0.036408388,0.472536238,456.7322734,492.3295775
49950,44.47139715,0.001905987,0.564441279,456.7322734,491.4278564
50100,44.12940912,-0.047354359,0.508181551,457.7407931,491.4278564
50250,44.00737813,-0.080830123,0.349949652,458.0502753,490.8222802
50400,44.12432422,-0.084834195,0.362883451,458.0502753,489.5875992
50550,44.43396759,-0.069063934,0.508584239,458.7783865,489.4189453
50700,44.64716983,-0.030680536,0.548337158,459.1173187,488.9897202
50850,44.6125303,-0.00213582,0.444023019,459.6164138,488.4149068
51000,44.34998651,0.003568362,0.38,460.9885124,487.831433
51150,43.96718617,-0.002798624,0.376088217,461.4979227,487.4313354
51300,43.69224075,-0.026029532,0.308685944,461.4979227,487.0138936
51450,43.67114191,-0.037496566,0.239452604,461.4979227,486.2576294
51600,43.94604653,-0.029568813,0.328773728,462.3569957,486.0329419
51750,44.21855532,-0.009629982,0.462044107,464.0304269,485.3060315
51900,44.28948725,-0.003298876,0.505584736,464.0304269,484.7837746
52050,44.21056523,-0.003427506,0.501175377,464.0304269,484.3050537
52200,44.096929,0.000882621,0.49,464.7179644,484.0348076
52350,44.17780367,0.021290754,0.616096199,466.2181727,483.1528625
52500,44.47962201,0.059088922,0.68,466.2181727,483.0628079
52650,44.7960841,0.081448343,0.69539307,466.3278405,482.0089417
52800,44.89303289,0.063641476,0.997696628,467.3940033,481.9457322
52950,44.65921446,0.000846272,1.235205532,467.5531714,481.1474458
53100,44.23744206,-0.068403652,1.069372359,468.7385829,480.6775046
53250,43.94527833,-0.100351367,0.766972546,469.1429282,479.9644561
53400,43.92436203,-0.085343084,0.746916158,470.8215128,479.7463379
53550,44.20319482,-0.036393221,0.675317526,470.8215128,479.5525232
53700,44.42128915,-0.018679708,0.54,471.6654956,478.8452939
53850,44.48846553,-0.01425916,0.575667025,474.447223,478.3859202
54000,44.49869806,0.003200021,0.820492482,474.8601553,477.4994073
54150,44.52907461,0.041211195,1.035182458,474.8601553,477.1194153
54300,44.6754506,0.101541919,1.001065336,475.2704301,477.0244307
54450,44.85898401,0.152055166,0.590748533,475.8539449,476.4350716
54600,44.88789488,0.153851605,0.485893678,476.4179932,475.6427096
54750,44.76316533,0.114721386,0.627165546,477.0948674,475.1061806
54900,44.48795145,0.060768775,0.653358327,477.6951714,474.4658574
55050,44.18502904,0.004934089,0.598436892,478.1796456,474.1934814
55200,44.03727771,-0.03909725,0.449185567,478.1796456,473.3986999
55350,44.09533733,-0.025336978,0.364161811,478.1796456,473.1185303
55500,44.33830122,-0.03244001,0.460096604,480.2223453,472.4845352
55650,44.62810974,-0.008401568,0.557526597,480.5275739,472.389801
55800,44.8439109,0.032675008,0.493724786,480.5275739,472.1105859
55950,44.90008869,0.06426481,0.326971006,478.2026255,471.3538546
56100,44.8146608,0.031739057,0.240497414,478.1031477,471.3247621
56250,44.68373577,0.015427114,0.275486503,478.29233,470.9870321
56400,44.53066857,0.002433542,0.349128281,478.6814427,470.2923845
56550,44.38460056,-0.007077849,0.438162781,479.1325716,469.4870251
56700,44.27467315,-0.012943246,0.519330031,479.5078024,468.8171594
56850,44.23002772,-0.014998839,0.569370064,479.6692212,468.5289932
57000,44.30130652,0.01431016,0.555672648,480.0871691,468.3614539
57150,44.41143585,0.045115807,0.392474111,481.6804884,467.4550265
57300,44.58451897,0.068909001,0.244536414,482.3481451,466.8033142
57450,44.77980104,0.075630867,0.30113875,482.5491661,466.7029092
57600,44.94876166,0.080589991,0.36,483.5008229,466.0033673
57750,45.01935238,0.099267242,0.353699531,483.5008229,465.6461884
57900,45.0005245,0.106493171,0.314846255,483.5623009,465.1023254
58050,44.85647514,0.087447706,0.480483682,484.9870831,465.0521446
58200,44.60508431,0.032365412,0.813437736,485.6586303,464.4042137
58350,44.3241833,-0.042163426,0.961274378,485.6586303,464.1059875
