distance,surface,bed
27400,1691.721973,559.0011392
27450,1691.239982,562.4528405
27500,1690.759185,566.0093321
27550,1690.256374,569.6357822
27600,1689.738233,573.3758478
27650,1689.245591,577.2102466
27700,1688.767602,581.1529761
27750,1688.281081,585.2126458
27800,1687.708917,589.3071762
27850,1687.045321,593.4658539
27900,1686.300667,597.704349
27950,1685.494907,602.0512973
28000,1684.663614,606.4278562
28050,1683.816687,610.9093435
28100,1683.02406,615.468057
28150,1682.287373,620.0672232
28200,1681.588891,624.7181827
28250,1680.826993,629.3278228
28300,1679.933844,633.968604
28350,1678.918697,638.5875976
28400,1677.806943,643.2621615
28450,1676.665542,648.0565462
28500,1675.502728,652.9059858
28550,1674.324365,657.8445742
28600,1673.14656,662.8498703
28650,1671.980957,667.9600745
28700,1670.814931,673.1491966
28750,1669.591487,678.3773172
28800,1668.309921,683.5374099
28850,1666.952855,688.6404272
28900,1665.575647,693.6325806
28950,1664.191062,698.4660064
29000,1662.738875,703.1243837
29050,1661.22109,707.5916481
29100,1659.642639,711.8660371
29150,1658.055637,715.9812625
29200,1656.438679,719.9564847
29250,1654.77969,723.8096514
29300,1653.082375,727.5520337
29350,1651.380066,731.2167691
29400,1649.684037,734.8240604
29450,1647.960046,738.3617532
29500,1646.223296,741.8179731
29550,1644.457945,745.2497812
29600,1642.724651,748.5532442
29650,1640.980942,751.7671716
29700,1639.204829,754.9107732
29750,1637.381126,757.9151907
29800,1635.554757,760.794796
29850,1633.761841,763.5588716
29900,1632.028154,766.1419079
29950,1630.35925,768.5021733
30000,1628.745431,770.5973347
30050,1627.165303,772.4428414
30100,1625.584187,774.0324283
30150,1623.95179,775.3005557
30200,1622.275865,776.3368968
30250,1620.591701,777.1712593
30300,1618.917672,777.7709096
30350,1617.22481,777.9207843
30400,1615.48732,777.7652825
30450,1613.71609,777.2752881
30500,1611.955715,776.4198383
30550,1610.239224,775.2363015
30600,1608.52775,773.6950187
30650,1606.846502,771.9029567
30700,1605.170599,769.873468
30750,1603.552499,767.5838356
30800,1602.007694,765.1025922
30850,1600.554665,762.5251705
30900,1599.183837,759.7508866
30950,1597.874595,756.8781842
31000,1596.588634,754.0176344
31050,1595.30659,751.1759982
31100,1594.011896,748.3219737
31150,1592.712208,745.4838299
31200,1591.411606,742.6430132
31250,1590.177314,739.8449744
31300,1589.041308,737.1002271
31350,1587.9968,734.3714169
31400,1587.014949,731.6293184
31450,1586.023958,728.8549771
31500,1585.051677,726.0523405
31550,1584.13228,723.2469653
31600,1583.256973,720.4575784
